day,title,category,email_subject,email_body,website_content
1,"Deine Stadt als Miniatur-Kunstwerk","Allgemein","🎄 Türchen 1: Deine Stadt als KI-Miniatur","Türchen 1 ist offen! 🎄

Heute: Erstelle beeindruckende Städte-Bilder für Newsletter oder Social Media – direkt in der Gemini App.

Der Tilt-Shift-Effekt lässt echte Städte wie Miniaturmodelle aussehen. Perfekt für saisonale Newsletter-Header.

👉 Zum Tipp: https://taxki.elinalesyk.com/1

💰 Kostenlos mit Google-Konto

Bis morgen!","<p>Erstelle beeindruckende Städte-Bilder für Newsletter oder Social Media. Direkt in der Gemini App möglich.</p>

<h3>So geht's:</h3>
<ol>
<li>Öffne gemini.google.com</li>
<li>Wähle ""Create Image"" im Chat</li>
<li>Gib diesen Prompt ein:</li>
</ol>

<pre><code>CITY=[deine Stadt, z.B. München]

Present a clear, 45° top-down isometric miniature 3D cartoon scene of [CITY], featuring its most iconic landmarks and architectural elements.

Use soft, refined textures with realistic PBR materials and gentle, lifelike lighting and shadows.

Integrate the current weather conditions directly into the city environment to create an immersive atmospheric mood.

Use a clean, minimalistic composition with a soft, solid-colored background.

At the top-center, place the title ""[CITY]"" in large bold text, a prominent weather icon beneath it, then the date (small text) and temperature (medium text).

All text must be centered with consistent spacing, and may subtly overlap the tops of the buildings.

Square 1080x1080 dimension.</code></pre>

<p><strong>Warum das funktioniert:</strong> Der Tilt-Shift-Effekt lässt echte Städte wie Miniaturmodelle aussehen. Perfekt für saisonale Newsletter-Header.</p>

<p>💰 <strong>Kosten:</strong> Kostenlos mit Google-Konto</p>
<p>🔒 <strong>DSGVO:</strong> Keine personenbezogenen Daten involviert. Google-Nutzungsbedingungen beachten.</p>"
2,"Claude Projects – Deine persönliche Steuerrecht-Wissensbasis","Large Language Models","🎄 Türchen 2: 500 Seiten Fachwissen immer dabei","Türchen 2 ist offen! 🎄

Heute: Claude Projects speichert dauerhaft bis zu 200.000 Tokens Kontext – das entspricht etwa 500 Seiten Fachliteratur.

Erstelle separate Projekte für verschiedene Mandanten-Kategorien (GmbHs, Freiberufler, Immobilien).

👉 Zum Tipp: https://taxki.elinalesyk.com/2

Bis morgen!","<p>Claude Projects speichert dauerhaft bis zu 200.000 Tokens Kontext. Das entspricht etwa 500 Seiten Fachliteratur.</p>

<h3>Setup für Steuerberater:</h3>
<ol>
<li>Erstelle ein Projekt ""Steuerrecht 2025""</li>
<li>Lade hoch: Aktuelle EStG-Änderungen, relevante BMF-Schreiben, eure Mandantenrundschreiben-Vorlagen</li>
<li>Setze diese System Instructions:</li>
</ol>

<pre><code>Du bist ein deutscher Steuerberater-Assistent.

Beantworte Fragen unter Bezugnahme auf die hochgeladenen aktuellen Rechtsquellen.

Zitiere immer relevante §§ und BMF-Schreiben.

Antworte strukturiert mit:
- Rechtsgrundlage
- Anwendung
- Praktisches Beispiel</code></pre>

<p><strong>Power-Move:</strong> Erstelle separate Projekte für verschiedene Mandanten-Kategorien (GmbHs, Freiberufler, Immobilien).</p>

<p>💰 <strong>Kosten:</strong> Claude Pro ab $20/Monat erforderlich</p>
<p>🔒 <strong>DSGVO:</strong> Anthropic speichert Daten in den USA. Keine sensiblen Mandantendaten hochladen. Für DSGVO-kritische Anwendungen Claude Enterprise mit EU-Hosting prüfen.</p>"
3,"DATEV KI-Werkstatt – Das kennen die wenigsten","Konkrete Fälle und Prompts","🎄 Türchen 3: Kostenlose DATEV KI-Tools","Türchen 3 ist offen! 🎄

Heute: DATEV bietet kostenlose KI-Tools für Mitglieder – die meisten nutzen sie nicht.

Der Einspruchsgenerator analysiert deinen Sachverhalt und generiert professionelle Einspruch-Entwürfe inkl. §§-Verweise und BFH-Zitate.

👉 Zum Tipp: https://taxki.elinalesyk.com/3

Bis morgen!","<p>DATEV bietet kostenlose KI-Tools für Mitglieder. Die meisten nutzen sie nicht.</p>

<h3>Der Einspruchsgenerator:</h3>
<ul>
<li>DATEV Portal → KI-Werkstatt → Einspruchsgenerator</li>
<li>Analysiert deinen Sachverhalt</li>
<li>Identifiziert relevante Rechtsprechung</li>
<li>Generiert professionellen Einspruch-Entwurf</li>
<li>Inkl. §§-Verweise und BFH-Zitate</li>
</ul>

<h3>Frag LEA:</h3>
<ul>
<li>Ebenfalls kostenlos für DATEV-Mitglieder</li>
<li>Durchsucht ~4.200 indexierte LEXinform-Dokumente</li>
<li>Perfekt für Recherche und Argumentationssuche</li>
</ul>

<p>💰 <strong>Kosten:</strong> Kostenlos für DATEV-Mitglieder</p>
<p>🔒 <strong>DSGVO:</strong> DATEV-konform, deutsche Server</p>"
4,"So funktioniert der DATEV Automatisierungsservice richtig","KI Automatisierung in der Fibu","🎄 Türchen 4: DATEV Automatisierungsservice optimieren","Türchen 4 ist offen! 🎄

Heute: Viele Kanzleien nutzen den DATEV Automatisierungsservice – wenige nutzen ihn richtig.

Inkl. Video-Empfehlung mit Best Practices für maximale Erkennungsrate.

👉 Zum Tipp: https://taxki.elinalesyk.com/4

Bis morgen!","<p>Viele Kanzleien nutzen den DATEV Automatisierungsservice. Wenige nutzen ihn richtig.</p>

<h3>Video-Empfehlung:</h3>
<p>📺 <a href=""https://www.youtube.com/watch?v=bdkSiLXNylA"">So setzt du den DATEV Automatisierungsservice richtig ein</a></p>

<h3>Was du im Video lernst:</h3>
<ul>
<li>Optimale Einrichtung für maximale Erkennungsrate</li>
<li>Häufige Fehler bei der Konfiguration</li>
<li>Best Practices aus der Praxis</li>
<li>Tipps zur Qualitätskontrolle</li>
</ul>

<h3>Der Automatisierungsservice Bank (seit August 2024):</h3>
<ul>
<li>Analysiert Banktransaktionsdaten</li>
<li>Schlägt Buchungssätze vor</li>
<li>Lernt aus euren Korrekturen</li>
<li>Aktuell von 5.500+ Kanzleien genutzt</li>
</ul>

<h3>Best Practices:</h3>
<ol>
<li>Starte mit wiederkehrenden Standardbuchungen</li>
<li>Prüfe KI-Vorschläge 2-4 Wochen intensiv</li>
<li>Gib Feedback zur Verbesserung</li>
<li>Erweitere schrittweise auf weitere Kategorien</li>
</ol>

<p>💰 <strong>Kosten:</strong> Teil der DATEV-Lizenz</p>
<p>🔒 <strong>DSGVO:</strong> DATEV-konform, deutsche Rechenzentren</p>"
5,"Wie funktioniert KI-Belegerkennung?","KI Automatisierung in der Fibu","🎄 Türchen 5: Die Technik hinter Belegerkennung","Türchen 5 ist offen! 🎄

Heute: Anbieter wie Finmatics, GetMyInvoices oder Candis nutzen KI für Belegerkennung – aber wie funktioniert das eigentlich?

👉 Zum Tipp: https://taxki.elinalesyk.com/5

Bis morgen!","<p>Anbieter wie Finmatics, GetMyInvoices oder Candis nutzen KI für Belegerkennung. Aber wie funktioniert das eigentlich?</p>

<h3>Die Technologie dahinter:</h3>

<p><strong>1. OCR (Optical Character Recognition)</strong></p>
<ul>
<li>Wandelt Bildpixel in Text um</li>
<li>Erkennt Schriftarten und Layouts</li>
</ul>

<p><strong>2. Machine Learning Klassifikation</strong></p>
<ul>
<li>Unterscheidet Rechnungen von Lieferscheinen, Kontoauszügen etc.</li>
<li>Lernt aus euren Korrekturen</li>
</ul>

<p><strong>3. Named Entity Recognition</strong></p>
<ul>
<li>Findet automatisch: Rechnungsnummer, Datum, Betrag, USt-Satz</li>
<li>Erkennt Kreditor anhand von Mustern</li>
</ul>

<p><strong>4. Buchungsvorschlag-Engine</strong></p>
<ul>
<li>Analysiert historische Buchungen</li>
<li>Schlägt Konten basierend auf Mustern vor</li>
</ul>

<h3>Typische Erkennungsraten:</h3>
<ul>
<li>Standardbelege: 90-99%</li>
<li>Komplexe Belege: 70-85%</li>
<li>Split-Buchungen: 60-80%</li>
</ul>

<h3>Bei der Auswahl achten auf:</h3>
<ul>
<li>DATEV-Integration (DUO, Buchungsdatenservice)</li>
<li>DSGVO-Konformität (EU-Server, ISO 27001)</li>
<li>Lernfähigkeit aus Korrekturen</li>
<li>Preis pro Beleg vs. Flatrate</li>
</ul>

<p>💰 <strong>Kosten:</strong> Variiert stark (ab ~0,10€/Beleg bis Flatrate-Modelle)</p>
<p>🔒 <strong>DSGVO:</strong> Unbedingt auf EU-Hosting und Auftragsverarbeitungsvertrag (AVV) achten!</p>"
6,"n8n – DSGVO-konforme E-Mail-Automatisierung","Automatisierung","🎄 Türchen 6: E-Mail-Automatisierung für Berufsgeheimnisträger","Türchen 6 ist offen! 🎄

Heute: n8n ist Open Source und kann auf eigenen Servern laufen – perfekt für Berufsgeheimnisträger.

Zeitersparnis: 5-10 Stunden pro Woche pro Postfach.

👉 Zum Tipp: https://taxki.elinalesyk.com/6

Bis morgen!","<p>n8n ist Open Source und kann auf eigenen Servern laufen. Perfekt für Berufsgeheimnisträger.</p>

<h3>Beispiel-Workflow: Intelligente E-Mail-Triage</h3>

<pre><code>Outlook-Trigger (neue E-Mail)
    ↓
KI-Klassifikation (OpenAI API oder Claude)
    ↓
Kategorisierung:
- Frist-kritisch
- Dokument-Anforderung  
- Allgemeine Anfrage
- Spam
    ↓
Prioritäts-Routing
    ↓
KI-Entwurf einer Antwort
    ↓
Teams/Slack-Alert bei Dringlichem
    ↓
Entwurf zur menschlichen Prüfung speichern</code></pre>

<h3>Warum n8n statt Zapier/Make?</h3>
<ul>
<li>Vollständiges Self-Hosting möglich</li>
<li>Mandantendaten verlassen nie eure Infrastruktur</li>
<li>Perfekt für Berufsgeheimnis-Compliance</li>
</ul>

<p><strong>Zeitersparnis:</strong> 5-10 Stunden pro Woche pro Postfach (Erfahrungswerte)</p>
<p><strong>Aufwand:</strong> Mittel (2-4 Stunden Basis-Setup, 1 Woche für volle Anpassung)</p>

<p>💰 <strong>Kosten:</strong> Self-Hosted kostenlos, Cloud ab 20€/Monat</p>
<p>🔒 <strong>DSGVO:</strong> Bei Self-Hosting volle Kontrolle. Bei Cloud-Version auf EU-Region achten.</p>"
7,"Excel Copilot + Python – Anomalien in BWAs finden","MS365 / Copilot","🎄 Türchen 7: BWA-Anomalien automatisch finden","Türchen 7 ist offen! 🎄

Heute: Seit November 2024 kann Excel Copilot Python nutzen – für fortgeschrittene Analysen ohne Programmierkenntnisse.

👉 Zum Tipp: https://taxki.elinalesyk.com/7

Bis morgen!","<p>Seit November 2024 kann Excel Copilot Python nutzen. Für fortgeschrittene Analysen ohne Programmierkenntnisse.</p>

<h3>Setup:</h3>
<ol>
<li>BWA/Summen-und-Saldenliste in Excel öffnen</li>
<li>Als Tabelle formatieren</li>
<li>In OneDrive speichern</li>
</ol>

<h3>Power-Prompt:</h3>

<pre><code>Start with Think Deeper to do Python analysis.

Analysiere diese Finanzdaten auf Ausreißer und Anomalien.

Markiere alle Positionen mit Jahr-zu-Jahr-Abweichung über 20%.

Erstelle eine visuelle Heatmap der signifikantesten Veränderungen.

Fasse die Ergebnisse zusammen.</code></pre>

<h3>Was du bekommst:</h3>
<ul>
<li>Statistische Ausreißer-Erkennung</li>
<li>Professionelle Visualisierungen (Heatmaps)</li>
<li>Zusammenfassung verdächtiger Muster</li>
<li>Konkrete Gesprächspunkte für Mandanten</li>
</ul>

<p><strong>Tastenkürzel:</strong> ""analyze with Python"" erzwingt Python-Modus</p>

<p>💰 <strong>Kosten:</strong> Microsoft 365 Copilot Lizenz (~30€/Monat pro Nutzer)</p>
<p>🔒 <strong>DSGVO:</strong> Microsoft 365 DSGVO-konform bei EU-Tenant. Keine Datennutzung für KI-Training bei Enterprise.</p>"
8,"NotebookLM – BMF-Schreiben als Podcast","Inspiration und Fortbildung","🎄 Türchen 8: Steuerrecht zum Anhören","Türchen 8 ist offen! 🎄

Heute: Verwandle trockene Gesetzestexte in unterhaltsame Audio-Diskussionen. Perfekt für die Weiterbildung während der Autofahrt.

👉 Zum Tipp: https://taxki.elinalesyk.com/8

Bis morgen!","<p>Verwandle trockene Gesetzestexte in unterhaltsame Audio-Diskussionen. Perfekt für die Weiterbildung während der Autofahrt.</p>

<h3>So erstellst du einen Audio-Überblick:</h3>
<ol>
<li>Lade PDF zu NotebookLM hoch (Google-Konto nötig)</li>
<li>Klicke auf ""Audio Overview"" im Studio-Panel</li>
<li>Warte 5-10 Minuten</li>
<li>Lade herunter und teile mit dem Team</li>
</ol>

<h3>Anpassungsoptionen (seit Oktober 2024):</h3>
<ul>
<li>""Fokussiere auf praktische Auswirkungen für mittelständische Mandanten""</li>
<li>""Erkläre wie für eine Junior-Steuerfachangestellte""</li>
<li>Funktioniert auf Deutsch mit natürlich klingenden Stimmen</li>
</ul>

<p><strong>Anwendungsidee:</strong> Erstelle Audio-Briefings zu jeder wichtigen Steueränderung. Neue Mitarbeiter können ein ganzes Jahr an Updates nachhören.</p>

<p>💰 <strong>Kosten:</strong> Komplett kostenlos</p>
<p>🔒 <strong>DSGVO:</strong> Google-Dienst, US-Server. Keine vertraulichen Mandantendaten hochladen. Nur öffentliche Dokumente wie Gesetze, BMF-Schreiben etc.</p>"
9,"Perplexity Spaces – Kollaborative Recherche-Hubs","Large Language Models","🎄 Türchen 9: Recherche-Hubs für komplexe Fälle","Türchen 9 ist offen! 🎄

Heute: Erstelle dedizierte Recherche-Umgebungen für komplexe Mandantensituationen – mit bis zu 50 Dateien und Teamzugang.

👉 Zum Tipp: https://taxki.elinalesyk.com/9

Bis morgen!","<p>Erstelle dedizierte Recherche-Umgebungen für komplexe Mandantensituationen.</p>

<h3>Setup für einen Großmandanten:</h3>
<ol>
<li>Erstelle einen Space ""Mandant ABC – Umstrukturierung 2025""</li>
<li>Lade hoch: Gesellschaftsvertrag, Vorjahresbescheide, BWA (bis zu 50 Dateien)</li>
<li>Setze Custom Instructions:</li>
</ol>

<pre><code>Agiere als deutscher Steuerberater spezialisiert auf Umstrukturierungen.

Zitiere immer relevante §§ aus UmwStG, UmwG und EStG.

Fokussiere auf steueroptimale Gestaltungsoptionen.</code></pre>

<ol start=""4"">
<li>Wähle KI-Modell (GPT-4o, Claude 3.5, DeepSeek R1)</li>
<li>Lade bis zu 10 Kollegen ein</li>
</ol>

<p><strong>Power-Feature:</strong> Perplexity durchsucht gleichzeitig eure hochgeladenen Dateien UND das Web.</p>

<p>💰 <strong>Kosten:</strong> Kostenlos bis zu 3 Spaces, 50 Dateien pro Space. Pro ($20/Monat) für unbegrenzte Spaces.</p>
<p>🔒 <strong>DSGVO:</strong> US-Anbieter. Für sensible Mandantendaten nicht geeignet. Ideal für allgemeine Recherche mit anonymisierten Szenarien.</p>"
10,"Der ""Financial Controller"" Prompt für Mandanten","Konkrete Fälle und Prompts","🎄 Türchen 10: Ein Geschenk für deine Mandanten","Türchen 10 ist offen! 🎄

Heute: Ein Prompt zum Weitergeben an Mandanten – hilft bei der Selbstanalyse ihrer Finanzen.

Mandanten kommen besser vorbereitet, du kannst höhere Beratungsqualität bieten.

👉 Zum Tipp: https://taxki.elinalesyk.com/10

Bis morgen!","<p>Biete deinen Mandanten diesen Prompt als Mehrwert an. Hilft bei der Selbstanalyse ihrer Finanzen.</p>

<h3>Der Prompt (zum Weitergeben):</h3>

<pre><code>Du bist mein persönlicher Financial Controller.

Ich gebe dir meine monatlichen Einnahmen und Ausgaben.

Analysiere sie nach diesen Kriterien:

1. Cashflow-Übersicht
   - Gesamteinnahmen vs. Gesamtausgaben
   - Netto-Cashflow

2. Kostenstruktur
   - Fixkosten vs. variable Kosten
   - Top 5 Kostenpositionen

3. Auffälligkeiten
   - Ungewöhnliche Schwankungen
   - Positionen über/unter Branchendurchschnitt

4. Handlungsempfehlungen
   - Konkrete Einsparungspotenziale
   - Optimierungsvorschläge

5. Kennzahlen
   - Kostenquote
   - Liquiditätsreserve in Monaten

Antworte strukturiert und verständlich.
Stelle Rückfragen, wenn Informationen fehlen.</code></pre>

<h3>Anwendung für Mandanten:</h3>
<ul>
<li>In ChatGPT, Claude oder Gemini einfügen</li>
<li>Eigene Zahlen angeben</li>
<li>Monatlich wiederholen für Trend-Analyse</li>
</ul>

<h3>Mehrwert für die Kanzlei:</h3>
<ul>
<li>Mandanten kommen besser vorbereitet</li>
<li>Höhere Beratungsqualität möglich</li>
<li>Positionierung als innovative Kanzlei</li>
</ul>

<p>💰 <strong>Kosten für Mandanten:</strong> Kostenlos mit ChatGPT/Gemini Free</p>
<p>🔒 <strong>DSGVO-Hinweis für Mandanten:</strong> Keine Klarnamen oder identifizierenden Daten eingeben. Nur anonymisierte Zahlen verwenden.</p>"
